id,category,brand,model,title,description,price,discount,stock,rating,review_count,color,warranty,features,tags
272,یخچال,دوو,Family Hub RF28T (نسخه جدید),دوو Family Hub RF28T (نسخه جدید) - نقره‌ای,دوو Family Hub RF28T (نسخه جدید) - قفسه‌های قابل تنظیم | جداسازی رطوبت | فریزر پایین. مناسب برای کاربران یخچال.,65890000,0,200,4.7,648,نقره‌ای,۱۲ ماه گارانتی,قفسه‌های قابل تنظیم | جداسازی رطوبت | فریزر پایین | نمایشگر دیجیتال,یخچال، No Frost، بزرگ، اینورتر
273,ساعت هوشمند,گارمین,Apple Watch Series 9 Plus,گارمین Apple Watch Series 9 Plus - آبی,پیشنهاد ویژه: گارمین Apple Watch Series 9 Plus. نمایشگر AMOLED | مقاومت در برابر آب | GPS داخلی. ارسال سریع.,22800000,20,5,3.7,1677,آبی,۲۴ ماه گارانتی,نمایشگر AMOLED | مقاومت در برابر آب | GPS داخلی | مانیتور خواب,سلامت، ساعت هوشمند، فیتنس، ورزشی
274,اسپیکر,هارمن کاردن,Onyx Studio 7 Pro,هارمن کاردن Onyx Studio 7 Pro - خاکستری,هارمن کاردن Onyx Studio 7 Pro - اتصال چندگانه | صدای ۳۶۰ درجه | بیس قوی. مناسب برای کاربران اسپیکر.,6950000,20,0,4.1,1534,خاکستری,۲۴ ماه گارانتی,اتصال چندگانه | صدای ۳۶۰ درجه | بیس قوی | صدای استریو,بی‌سیم، اسپیکر، موزیک، سفر
275,یخچال,ال‌جی,GNE6021 Plus,ال‌جی GNE6021 Plus - نقره‌ای,ال‌جی GNE6021 Plus - قفسه‌های قابل تنظیم | ظرفیت ۶۰۰ لیتر | کمپرسور اینورتر. مناسب برای کاربران یخچال.,53170000,10,30,2.8,650,نقره‌ای,۳۶ ماه گارانتی,قفسه‌های قابل تنظیم | ظرفیت ۶۰۰ لیتر | کمپرسور اینورتر | نمایشگر دیجیتال,اینورتر، بزرگ، No Frost، لوازم خانگی
276,دسته بازی,ریزر,F710,ریزر F710 - قرمز,ریزر F710 - لرزش هپتیک | نور RGB | سازگار با PC. مناسب برای کاربران دسته بازی.,2710000,25,5,2.8,951,قرمز,۶ ماه گارانتی,لرزش هپتیک | نور RGB | سازگار با PC | اتصال بی‌سیم,بی‌سیم، کنترلر، PS5، گیمینگ
277,کتاب,نشر چشمه,کتاب علمی (2024),نشر چشمه کتاب علمی (2024) - متنوع,محصول نشر چشمه مدل کتاب علمی (2024) با ویژگی‌های جلد سخت | تصویرسازی رنگی | کاغذ کرم. بهترین انتخاب در دسته کتاب.,335000,0,20,4.4,1329,متنوع,۳۶ ماه گارانتی,جلد سخت | تصویرسازی رنگی | کاغذ کرم | قطع وزیری,رمان، کتاب، علمی، ادبیات
278,تجهیزات کمپینگ,میلت,تشک بادی SE,میلت تشک بادی SE - خاکی,محصول میلت مدل تشک بادی SE با ویژگی‌های ضدآب ۳۰۰۰mm | تنفس‌پذیر GoreTex | پوشش UV. بهترین انتخاب در دسته تجهیزات کمپینگ.,10270000,0,30,3.1,2583,خاکی,۲۴ ماه گارانتی,ضدآب ۳۰۰۰mm | تنفس‌پذیر GoreTex | پوشش UV | مقاوم در برابر باد ۶۰ کیلومتر,کوهنوردی، ماجراجویی، کمپینگ، طبیعت‌گردی
279,کیبورد,کینگستون,Sculpt Ergonomic Lite,کینگستون Sculpt Ergonomic Lite - سفید,Sculpt Ergonomic Lite از برند معتبر کینگستون. روشنایی RGB | کلیدهای ماکرو | بلوتوث بی‌سیم. کیفیت تضمینی.,1810000,30,5,2.7,2248,سفید,۶ ماه گارانتی,روشنایی RGB | کلیدهای ماکرو | بلوتوث بی‌سیم | پروفایل قابل تنظیم,گیمینگ، اداری، RGB، کیبورد
280,ماشین لباسشویی,اتومات,SWD-84502 Pro,اتومات SWD-84502 Pro - خاکستری,پیشنهاد ویژه: اتومات SWD-84502 Pro. ظرفیت ۹ کیلوگرم | موتور اینورتر | دور ۱۴۰۰ rpm. ارسال سریع.,18915000,20,200,3.9,1415,خاکستری,۱۸ ماه گارانتی,ظرفیت ۹ کیلوگرم | موتور اینورتر | دور ۱۴۰۰ rpm | برنامه‌های متنوع,اینورتر، تمام اتوماتیک، ماشین لباسشویی، لوازم خانگی
281,هندزفری,ساندکور,Galaxy Buds FE Ultra,ساندکور Galaxy Buds FE Ultra - آبی,محصول ساندکور مدل Galaxy Buds FE Ultra با ویژگی‌های باتری ۶ ساعته | اتصال بلوتوث ۵.2 | کیس شارژ. بهترین انتخاب در دسته هندزفری.,7920000,10,0,3.5,1628,آبی,۶ ماه گارانتی,باتری ۶ ساعته | اتصال بلوتوث ۵.2 | کیس شارژ | حذف نویز فعال,TWS، ایرپاد، بی‌سیم، هندزفری
282,پوشاک مردانه,زارا,بلیزر SE,زارا بلیزر SE - کاکی,پیشنهاد ویژه: زارا بلیزر SE. جنس ۱۰۰% پنبه | سایزبندی استاندارد | قابل شستشو در ماشین. ارسال سریع.,3910000,10,20,3.7,1735,کاکی,۲۴ ماه گارانتی,جنس ۱۰۰% پنبه | سایزبندی استاندارد | قابل شستشو در ماشین | رنگ‌ثابت,رسمی، پوشاک، مردانه، کژوال
283,پرینتر,Epson,MFC-J4340DW ویژه,Epson MFC-J4340DW ویژه - سفید,پیشنهاد ویژه: Epson MFC-J4340DW ویژه. فکس | چاپ رنگی | چاپ موبایل. ارسال سریع.,12540000,0,50,4.9,1198,سفید,۳۶ ماه گارانتی,فکس | چاپ رنگی | چاپ موبایل | اتصال Wi-Fi,جوهرافشان، خانگی، چاپ، لیزر
284,لوازم خودرو,کاستوراول,آینه دیجیتال Max,کاستوراول آینه دیجیتال Max - مشکی,کاستوراول آینه دیجیتال Max - شتاب G-Sensor | باتری بکاپ | صفحه لمسی ۳.۵ اینچ. مناسب برای کاربران لوازم خودرو.,3495000,10,10,3.1,3162,مشکی,بدون گارانتی,شتاب G-Sensor | باتری بکاپ | صفحه لمسی ۳.۵ اینچ | GPS مکان‌یاب,خودرو، دوربین، GPS، ایمنی
285,جاروبرقی,فیلیپس,SpeedPro Max FC6908 ویژه,فیلیپس SpeedPro Max FC6908 ویژه - قرمز,SpeedPro Max FC6908 ویژه از برند معتبر فیلیپس. موتور دیجیتال ۷۵۰۰۰ rpm | باتری ۶۰ دقیقه | تشخیص گرد و غبار لیزری. کیفیت تضمینی.,5485000,20,0,2.8,1693,قرمز,۱۲ ماه گارانتی,موتور دیجیتال ۷۵۰۰۰ rpm | باتری ۶۰ دقیقه | تشخیص گرد و غبار لیزری | دسته قابل تنظیم,نظافت، جاروبرقی، لوازم خانگی، شارژی
286,ماوس,مایکروسافت,Dark Core RGB (2024),مایکروسافت Dark Core RGB (2024) - سفید,پیشنهاد ویژه: مایکروسافت Dark Core RGB (2024). طراحی ارگونومیک | باتری ۷۰ ساعته | دکمه‌های قابل برنامه‌ریزی. ارسال سریع.,1810000,30,50,2.7,2538,سفید,۲۴ ماه گارانتی,طراحی ارگونومیک | باتری ۷۰ ساعته | دکمه‌های قابل برنامه‌ریزی | RGB,گیمینگ، ماوس، اداری، ارگونومیک
287,ساعت هوشمند,گارمین,Galaxy Watch 6 Plus,گارمین Galaxy Watch 6 Plus - گلد,Galaxy Watch 6 Plus از برند معتبر گارمین. مقاومت در برابر آب | ردیابی ضربان قلب | اکسیژن خون SpO2. کیفیت تضمینی.,21465000,30,20,3.6,1924,گلد,۳۶ ماه گارانتی,مقاومت در برابر آب | ردیابی ضربان قلب | اکسیژن خون SpO2 | GPS داخلی,سلامت، فیتنس، ورزشی، اسمارت‌واچ
288,لپ‌تاپ,ام‌اس‌آی,Inspiron 15,ام‌اس‌آی Inspiron 15 - خاکستری,محصول ام‌اس‌آی مدل Inspiron 15 با ویژگی‌های کارت گرافیک RTX 3050 | وزن ۱.۵ کیلو | پردازنده Core i7. بهترین انتخاب در دسته لپ‌تاپ.,103545000,5,5,3.4,2298,خاکستری,بدون گارانتی,کارت گرافیک RTX 3050 | وزن ۱.۵ کیلو | پردازنده Core i7 | SSD 512 گیگ,دانشجویی، سبک، کامپیوتر، قدرتمند
289,مکمل ورزشی,بی‌اس‌ان,گینر Max,بی‌اس‌ان گینر Max - متنوع,محصول بی‌اس‌ان مدل گینر Max با ویژگی‌های مناسب گیاهخوار | طعم شکلات | ۲۵ گرم پروتئین در هر وعده. بهترین انتخاب در دسته مکمل ورزشی.,2890000,0,100,3.6,1284,متنوع,۳۶ ماه گارانتی,مناسب گیاهخوار | طعم شکلات | ۲۵ گرم پروتئین در هر وعده | انحلال سریع,پروتئین، سلامت، مکمل، بدنسازی
290,قهوه‌ساز,گاستروبک,EP2231/40,گاستروبک EP2231/40 - قرمز,EP2231/40 از برند معتبر گاستروبک. حرارت سریع ۴۰ ثانیه | برنامه‌ریزی زمانی | تهیه دو فنجان همزمان. کیفیت تضمینی.,24260000,0,0,4.7,2021,قرمز,۱۸ ماه گارانتی,حرارت سریع ۴۰ ثانیه | برنامه‌ریزی زمانی | تهیه دو فنجان همزمان | کف‌ساز بخار,خانگی، قهوه‌ساز، اسپرسو، باریستا
291,چای‌ساز,بوش,42443 Max,بوش 42443 Max - استیل,پیشنهاد ویژه: بوش 42443 Max. صفحه لمسی | ظرفیت ۲ لیتر | بدنه استیل. ارسال سریع.,2755000,25,5,3.3,3070,استیل,۳۶ ماه گارانتی,صفحه لمسی | ظرفیت ۲ لیتر | بدنه استیل | حرارت سریع,آشپزخانه، چای‌ساز، کتری برقی، خانگی
292,کفش,اسکچرز,Ultraboost 22 ویژه,اسکچرز Ultraboost 22 ویژه - مشکی,اسکچرز Ultraboost 22 ویژه - سبک وزن ۳۰۰ گرم | سایزبندی ۳۶-۴۶ | قابل شستشو. مناسب برای کاربران کفش.,2805000,20,5,2.8,319,مشکی,۲۴ ماه گارانتی,سبک وزن ۳۰۰ گرم | سایزبندی ۳۶-۴۶ | قابل شستشو | پنجه پهن,رسمی، اسپورت، کوهنوردی، ورزشی
293,کفش,پوما,Walking Pro Ultra,پوما Walking Pro Ultra - مشکی,محصول پوما مدل Walking Pro Ultra با ویژگی‌های زیره لاستیکی ضدلغزش | سبک وزن ۳۰۰ گرم | پنجه پهن. بهترین انتخاب در دسته کفش.,5930000,20,30,4.5,1075,مشکی,۳۶ ماه گارانتی,زیره لاستیکی ضدلغزش | سبک وزن ۳۰۰ گرم | پنجه پهن | سایزبندی ۳۶-۴۶,اسپورت، ورزشی، کفش، رسمی
294,سرخ‌کن,مولینکس,AF1400 ویژه,مولینکس AF1400 ویژه - قرمز,مولینکس AF1400 ویژه - بدون روغن | ظرفیت ۴.۵ لیتر | تایمر دیجیتال. مناسب برای کاربران سرخ‌کن.,2020000,20,200,3.6,267,قرمز,۲۴ ماه گارانتی,بدون روغن | ظرفیت ۴.۵ لیتر | تایمر دیجیتال | کم‌مصرف ۱۴۰۰ وات,هواپز، بدون روغن، سرخ‌کن، آشپزخانه
295,کیبورد,کورسیر,BlackWidow V3 SE,کورسیر BlackWidow V3 SE - خاکستری,محصول کورسیر مدل BlackWidow V3 SE با ویژگی‌های روشنایی RGB | عمر کلید ۱۰۰ میلیون ضربه | ضدآب. بهترین انتخاب در دسته کیبورد.,4175000,0,100,2.9,3067,خاکستری,۶ ماه گارانتی,روشنایی RGB | عمر کلید ۱۰۰ میلیون ضربه | ضدآب | پروفایل قابل تنظیم,مکانیکال، بی‌سیم، اداری، RGB
296,یخچال,سامسونگ,DRFP40S (نسخه جدید),سامسونگ DRFP40S (نسخه جدید) - مشکی,محصول سامسونگ مدل DRFP40S (نسخه جدید) با ویژگی‌های کمپرسور اینورتر | صدای کم ۳۸ دسیبل | نمایشگر دیجیتال. بهترین انتخاب در دسته یخچال.,67830000,0,20,3.6,1083,مشکی,۱۸ ماه گارانتی,کمپرسور اینورتر | صدای کم ۳۸ دسیبل | نمایشگر دیجیتال | فریزر پایین,No Frost، یخچال، اینورتر، بزرگ
297,کیف,لاکوست,کیف اداری (2024),لاکوست کیف اداری (2024) - مشکی,کیف اداری (2024) از برند معتبر لاکوست. جیب لپ‌تاپ ۱۵.۶ | قفل TSA | جیب‌های متعدد. کیفیت تضمینی.,3015000,0,20,4.4,1572,مشکی,بدون گارانتی,جیب لپ‌تاپ ۱۵.۶ | قفل TSA | جیب‌های متعدد | چرخ‌های ۳۶۰ درجه,مسافرت، کیف، چرم، دانشجویی
298,جاروبرقی,دایسون,V15 Detect,دایسون V15 Detect - آبی,V15 Detect از برند معتبر دایسون. قدرت مکش ۲۳۰ Air Watt | وزن ۳ کیلو | باتری ۶۰ دقیقه. کیفیت تضمینی.,30975000,0,30,4.5,754,آبی,۱۲ ماه گارانتی,قدرت مکش ۲۳۰ Air Watt | وزن ۳ کیلو | باتری ۶۰ دقیقه | تشخیص گرد و غبار لیزری,لوازم خانگی، نظافت، شارژی، بدون کیسه
299,هدفون,بیتس,Studio Pro Pro,بیتس Studio Pro Pro - آبی,بیتس Studio Pro Pro - اتصال بلوتوث ۵.۳ | پد گوش راحت | فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز. مناسب برای کاربران هدفون.,9475000,0,10,3.2,3127,آبی,۲۴ ماه گارانتی,اتصال بلوتوث ۵.۳ | پد گوش راحت | فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز | میکروفون داخلی,بازی، استودیو، هدفون، ANC
300,موبایل,اپل,Galaxy A54 Lite,اپل Galaxy A54 Lite - آبی,پیشنهاد ویژه: اپل Galaxy A54 Lite. باتری ۵۰۰۰ میلی‌آمپر | ضدآب IP68 | حافظه داخلی ۲۵۶ گیگ. ارسال سریع.,23155000,20,30,2.9,1460,آبی,۱۸ ماه گارانتی,باتری ۵۰۰۰ میلی‌آمپر | ضدآب IP68 | حافظه داخلی ۲۵۶ گیگ | دوربین ۱۰۸ مگاپیکسل,5G، هوشمند، موبایل، گوشی
301,کتاب,انتشارات ققنوس,فلسفه ویژه,انتشارات ققنوس فلسفه ویژه - متنوع,فلسفه ویژه از برند معتبر انتشارات ققنوس. قطع وزیری | ویرایش دوم | تصویرسازی رنگی. کیفیت تضمینی.,510000,15,30,4.0,2311,متنوع,۶ ماه گارانتی,قطع وزیری | ویرایش دوم | تصویرسازی رنگی | کاغذ کرم,مطالعه، آموزش، ادبیات، علمی
302,ابزارآلات,هیلتی,آچار پنوماتیک,هیلتی آچار پنوماتیک - زرد,پیشنهاد ویژه: هیلتی آچار پنوماتیک. تعویض سریع مته | کنترل سرعت | LED روشنایی. ارسال سریع.,9530000,0,5,3.8,3413,زرد,۳۶ ماه گارانتی,تعویض سریع مته | کنترل سرعت | LED روشنایی | کیف حمل,نجاری، ابزار، برقی، DIY
303,قهوه‌ساز,ساکو,CM5481W Lite,ساکو CM5481W Lite - سفید,پیشنهاد ویژه: ساکو CM5481W Lite. حرارت سریع ۴۰ ثانیه | کف‌ساز بخار | دماسنج دقیق. ارسال سریع.,11840000,25,200,4.0,2940,سفید,۳۶ ماه گارانتی,حرارت سریع ۴۰ ثانیه | کف‌ساز بخار | دماسنج دقیق | فشار ۱۵ بار,کافه، خانگی، قهوه‌ساز، باریستا
304,چای‌ساز,پارس,TWK7203 (نسخه جدید),پارس TWK7203 (نسخه جدید) - استیل,محصول پارس مدل TWK7203 (نسخه جدید) با ویژگی‌های حفظ گرما | بدنه استیل | فیلتر قابل شستشو. بهترین انتخاب در دسته چای‌ساز.,2370000,0,10,3.9,2322,استیل,۳۶ ماه گارانتی,حفظ گرما | بدنه استیل | فیلتر قابل شستشو | دمای قابل تنظیم,کتری برقی، آشپزخانه، خانگی، چای‌ساز
305,اسپیکر,شیائومی,Motion X600 Plus,شیائومی Motion X600 Plus - خاکستری,پیشنهاد ویژه: شیائومی Motion X600 Plus. مقاومت در برابر آب IPX7 | صدای ۳۶۰ درجه | باتری ۲۴ ساعته. ارسال سریع.,9220000,15,50,4.6,307,خاکستری,۱۸ ماه گارانتی,مقاومت در برابر آب IPX7 | صدای ۳۶۰ درجه | باتری ۲۴ ساعته | بلوتوث ۵.۳,موزیک، اسپیکر، پارتی، بلندگو
306,اسباب‌بازی,فیشر پرایس,Hot Wheels (2024),فیشر پرایس Hot Wheels (2024) - زرد,پیشنهاد ویژه: فیشر پرایس Hot Wheels (2024). مناسب ۳+ سال | قابل شستشو | بی‌خطر بدون BPA. ارسال سریع.,4170000,20,0,4.6,2402,زرد,۱۸ ماه گارانتی,مناسب ۳+ سال | قابل شستشو | بی‌خطر بدون BPA | قطعات لاستیکی نرم,کودک، آموزشی، خلاقیت، لگو
307,کیف,لاکوست,کوله‌پشتی Max,لاکوست کوله‌پشتی Max - مشکی,پیشنهاد ویژه: لاکوست کوله‌پشتی Max. چرخ‌های ۳۶۰ درجه | چرم مصنوعی با کیفیت | فضای داخلی وسیع. ارسال سریع.,11675000,25,10,4.4,959,مشکی,۱۲ ماه گارانتی,چرخ‌های ۳۶۰ درجه | چرم مصنوعی با کیفیت | فضای داخلی وسیع | سبک وزن,کیف، چرم، اداری، دانشجویی
308,دسته بازی,سونی,Pro 2 Lite,سونی Pro 2 Lite - آبی,محصول سونی مدل Pro 2 Lite با ویژگی‌های شارژ USB-C | نور RGB | اتصال بی‌سیم. بهترین انتخاب در دسته دسته بازی.,6180000,0,150,3.8,1042,آبی,بدون گارانتی,شارژ USB-C | نور RGB | اتصال بی‌سیم | سازگار با PC,Xbox، گیمینگ، کنترلر، بی‌سیم
309,هندزفری,سامسونگ,Redmi Buds 4 Pro,سامسونگ Redmi Buds 4 Pro - آبی,سامسونگ Redmi Buds 4 Pro - تأخیر کم ۴۰ms | لمسی | باتری ۶ ساعته. مناسب برای کاربران هندزفری.,6255000,25,5,3.3,1856,آبی,۱۲ ماه گارانتی,تأخیر کم ۴۰ms | لمسی | باتری ۶ ساعته | اتصال بلوتوث ۵.2,هندزفری، TWS، ایرپاد، مکالمه
310,کفش,آدیداس,Classic Leather SE,آدیداس Classic Leather SE - آبی,محصول آدیداس مدل Classic Leather SE با ویژگی‌های سبک وزن ۳۰۰ گرم | تکنولوژی Air Cushion | قابل شستشو. بهترین انتخاب در دسته کفش.,3585000,15,100,3.2,2177,آبی,بدون گارانتی,سبک وزن ۳۰۰ گرم | تکنولوژی Air Cushion | قابل شستشو | پنجه پهن,کفش، رسمی، اسپورت، ورزشی
311,جاروبرقی,دایسون,V15 Detect (نسخه جدید),دایسون V15 Detect (نسخه جدید) - آبی,محصول دایسون مدل V15 Detect (نسخه جدید) با ویژگی‌های دسته قابل تنظیم | بدون کیسه | قدرت مکش ۲۳۰ Air Watt. بهترین انتخاب در دسته جاروبرقی.,2100000,0,15,3.1,1415,آبی,۲۴ ماه گارانتی,دسته قابل تنظیم | بدون کیسه | قدرت مکش ۲۳۰ Air Watt | فیلتر HEPA,شارژی، جاروبرقی، نظافت، بدون کیسه
312,پرینتر,Brother,EcoTank ET-4850 Pro,Brother EcoTank ET-4850 Pro - مشکی,Brother EcoTank ET-4850 Pro - چاپ دو رو خودکار | سرعت ۲۸ صفحه در دقیقه | کارتریج با ظرفیت بالا. مناسب برای کاربران پرینتر.,13510000,0,10,4.8,3038,مشکی,۱۸ ماه گارانتی,چاپ دو رو خودکار | سرعت ۲۸ صفحه در دقیقه | کارتریج با ظرفیت بالا | چاپ موبایل,لیزر، چاپ، جوهرافشان، خانگی
313,کتاب,انتشارات کتابسرا,کتاب علمی ویژه,انتشارات کتابسرا کتاب علمی ویژه - متنوع,انتشارات کتابسرا کتاب علمی ویژه - ۳۵۰ صفحه | جلد سخت | قطع وزیری. مناسب برای کاربران کتاب.,490000,10,30,4.7,83,متنوع,۲۴ ماه گارانتی,۳۵۰ صفحه | جلد سخت | قطع وزیری | نمایه جامع,علمی، آموزش، مطالعه، رمان
314,پوشاک مردانه,اچ‌اند‌ام,شلوار جین,اچ‌اند‌ام شلوار جین - آبی نیلی,پیشنهاد ویژه: اچ‌اند‌ام شلوار جین. سایزبندی استاندارد | تنفس‌پذیر | رنگ‌ثابت. ارسال سریع.,3185000,10,10,4.6,2017,آبی نیلی,بدون گارانتی,سایزبندی استاندارد | تنفس‌پذیر | رنگ‌ثابت | جیب دار,مردانه، ورزشی، رسمی، پوشاک
315,پوشاک زنانه,زارا,بلوز SE,زارا بلوز SE - سبز,محصول زارا مدل بلوز SE با ویژگی‌های قابل شستشو | بدون ترنسپارنت | جیب مخفی. بهترین انتخاب در دسته پوشاک زنانه.,1230000,10,30,4.3,1117,سبز,بدون گارانتی,قابل شستشو | بدون ترنسپارنت | جیب مخفی | طراحی مدرن,پوشاک، کژوال، زنانه، رسمی
316,یخچال,بوش,InstaView LRMVS3006S Lite,بوش InstaView LRMVS3006S Lite - سفید,بوش InstaView LRMVS3006S Lite - No Frost بدون برفک | کمپرسور اینورتر | فریزر پایین. مناسب برای کاربران یخچال.,14460000,15,100,4.3,686,سفید,بدون گارانتی,No Frost بدون برفک | کمپرسور اینورتر | فریزر پایین | ظرفیت ۶۰۰ لیتر,اینورتر، بزرگ، لوازم خانگی، No Frost
317,پوشاک زنانه,کالباندی,شومیز (2024),کالباندی شومیز (2024) - سرخابی,محصول کالباندی مدل شومیز (2024) با ویژگی‌های قابل شستشو | بدون ترنسپارنت | سایزبندی XS تا XXL. بهترین انتخاب در دسته پوشاک زنانه.,265000,0,0,3.7,3268,سرخابی,۱۲ ماه گارانتی,قابل شستشو | بدون ترنسپارنت | سایزبندی XS تا XXL | یقه گرد,تابستانه، زنانه، کژوال، رسمی
318,قهوه‌ساز,دلونگی,EP2231/40 Max,دلونگی EP2231/40 Max - مشکی,EP2231/40 Max از برند معتبر دلونگی. ظرفیت مخزن ۱.۸ لیتر | آسیاب داخلی | تهیه دو فنجان همزمان. کیفیت تضمینی.,3145000,10,150,3.0,758,مشکی,۶ ماه گارانتی,ظرفیت مخزن ۱.۸ لیتر | آسیاب داخلی | تهیه دو فنجان همزمان | حرارت سریع ۴۰ ثانیه,قهوه‌ساز، اسپرسو، خانگی، کافه
319,عطر,هوگو بوس,La Vie Est Belle (نسخه جدید),هوگو بوس La Vie Est Belle (نسخه جدید) - طلایی,محصول هوگو بوس مدل La Vie Est Belle (نسخه جدید) با ویژگی‌های پخش مه ریز | ساخت فرانسه | بوی مردانه خشبی. بهترین انتخاب در دسته عطر.,4440000,0,5,3.5,737,طلایی,۲۴ ماه گارانتی,پخش مه ریز | ساخت فرانسه | بوی مردانه خشبی | حجم ۱۰۰ میلی‌لیتر,عطر، لوکس، ادکلن، زنانه
320,سرخ‌کن,دلمونتی,HD9270 Ultra,دلمونتی HD9270 Ultra - مشکی,HD9270 Ultra از برند معتبر دلمونتی. فناوری Rapid Air | حرارت سریع | ظرفیت ۴.۵ لیتر. کیفیت تضمینی.,4260000,10,150,3.8,2875,مشکی,۲۴ ماه گارانتی,فناوری Rapid Air | حرارت سریع | ظرفیت ۴.۵ لیتر | کم‌مصرف ۱۴۰۰ وات,هواپز، بدون روغن، سرخ‌کن، سالم
321,هدفون,ایسوس,HD 450BT Lite,ایسوس HD 450BT Lite - مشکی,ایسوس HD 450BT Lite - فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز | حذف نویز فعال ANC | تاشو. مناسب برای کاربران هدفون.,2195000,10,15,5.0,3228,مشکی,۶ ماه گارانتی,فرکانس پاسخ ۲۰-۲۰۰۰۰ هرتز | حذف نویز فعال ANC | تاشو | صدای Hi-Fi,موزیک، هدفون، استودیو، بازی
322,ساعت هوشمند,هواوی,Sense 2 (2024),هواوی Sense 2 (2024) - سبز,Sense 2 (2024) از برند معتبر هواوی. ردیابی ضربان قلب | مانیتور خواب | نمایشگر AMOLED. کیفیت تضمینی.,34970000,5,5,3.6,408,سبز,۳۶ ماه گارانتی,ردیابی ضربان قلب | مانیتور خواب | نمایشگر AMOLED | GPS داخلی,ساعت هوشمند، فیتنس، اسمارت‌واچ، ورزشی
323,هندزفری,سامسونگ,Free NC+ TWS Lite,سامسونگ Free NC+ TWS Lite - سفید,محصول سامسونگ مدل Free NC+ TWS Lite با ویژگی‌های باتری ۶ ساعته | اتصال بلوتوث ۵.2 | لمسی. بهترین انتخاب در دسته هندزفری.,10885000,20,100,4.4,3117,سفید,۶ ماه گارانتی,باتری ۶ ساعته | اتصال بلوتوث ۵.2 | لمسی | حذف نویز فعال,بی‌سیم، TWS، مکالمه، ایرپاد
324,کیف,دلسی,چمدان Pro,دلسی چمدان Pro - آبی سرمه‌ای,پیشنهاد ویژه: دلسی چمدان Pro. جیب‌های متعدد | سبک وزن | جیب لپ‌تاپ ۱۵.۶. ارسال سریع.,2120000,0,150,4.4,899,آبی سرمه‌ای,۶ ماه گارانتی,جیب‌های متعدد | سبک وزن | جیب لپ‌تاپ ۱۵.۶ | فضای داخلی وسیع,کیف، اداری، مسافرت، چرم
325,ماشین لباسشویی,اسنوا,WAV28EH0 Ultra,اسنوا WAV28EH0 Ultra - خاکستری,محصول اسنوا مدل WAV28EH0 Ultra با ویژگی‌های تشخیص بار | ضدالرژی | شستشوی سریع ۱۵ دقیقه. بهترین انتخاب در دسته ماشین لباسشویی.,36645000,5,50,4.4,3115,خاکستری,۶ ماه گارانتی,تشخیص بار | ضدالرژی | شستشوی سریع ۱۵ دقیقه | ظرفیت ۹ کیلوگرم,اینورتر، ماشین لباسشویی، تمام اتوماتیک، لوازم خانگی
326,مودم,میکروتیک,Nighthawk AX12 (نسخه جدید),میکروتیک Nighthawk AX12 (نسخه جدید) - سفید,Nighthawk AX12 (نسخه جدید) از برند معتبر میکروتیک. ۸ آنتن خارجی | VPN داخلی | پوشش ۳۰۰ متر مربع. کیفیت تضمینی.,10410000,10,150,5.0,2787,سفید,۱۲ ماه گارانتی,۸ آنتن خارجی | VPN داخلی | پوشش ۳۰۰ متر مربع | QoS پیشرفته,روتر، اینترنت، مودم، خانه هوشمند
327,کفش,کالباندی,RS-X SE,کالباندی RS-X SE - سفید,محصول کالباندی مدل RS-X SE با ویژگی‌های سبک وزن ۳۰۰ گرم | سایزبندی ۳۶-۴۶ | قابل شستشو. بهترین انتخاب در دسته کفش.,495000,0,0,2.9,1998,سفید,۳۶ ماه گارانتی,سبک وزن ۳۰۰ گرم | سایزبندی ۳۶-۴۶ | قابل شستشو | زیره لاستیکی ضدلغزش,ورزشی، اسپورت، کفش، رسمی
328,موبایل,ریلمی,Nova 11 (2024),ریلمی Nova 11 (2024) - سبز,محصول ریلمی مدل Nova 11 (2024) با ویژگی‌های حافظه داخلی ۲۵۶ گیگ | باتری ۵۰۰۰ میلی‌آمپر | شارژ سریع ۶۷ وات. بهترین انتخاب در دسته موبایل.,54495000,25,150,3.2,2399,سبز,بدون گارانتی,حافظه داخلی ۲۵۶ گیگ | باتری ۵۰۰۰ میلی‌آمپر | شارژ سریع ۶۷ وات | ضدآب IP68,iOS، اندروید، هوشمند، گوشی
329,سرخ‌کن,تفال,AF1400 (نسخه جدید),تفال AF1400 (نسخه جدید) - مشکی,تفال AF1400 (نسخه جدید) - فناوری Rapid Air | سبد قابل شستشو در ماشین | تایمر دیجیتال. مناسب برای کاربران سرخ‌کن.,5245000,15,15,4.8,1979,مشکی,بدون گارانتی,فناوری Rapid Air | سبد قابل شستشو در ماشین | تایمر دیجیتال | دمای ۸۰-۲۰۰ درجه,بدون روغن، سرخ‌کن، هواپز، آشپزخانه
330,تلویزیون,سونی,OLED C3 55 Pro,سونی OLED C3 55 Pro - مشکی,OLED C3 55 Pro از برند معتبر سونی. Wi-Fi داخلی | اسمارت TV | نرخ تازه‌سازی ۱۲۰Hz. کیفیت تضمینی.,77840000,0,0,4.9,1857,مشکی,۶ ماه گارانتی,Wi-Fi داخلی | اسمارت TV | نرخ تازه‌سازی ۱۲۰Hz | کیفیت 4K OLED,سینمای خانگی، OLED، TV، تلویزیون
